Engleza,Romana
next,Următorul
bring,aduce
week,săptămână
ever,vreodată
head,cap
without,fără
lot,lot
question,întrebare
write,scrie
book,carte
open,deschis
enough,suficient
anything,orice
american,american
face,față
nothing,nimic
must,trebuie sa
story,poveste
job,loc de munca
against,împotriva
kid,copil
begin,ÎNCEPE
until,pana cand
kind,drăguț
word,cuvânt
money,bani
once,o singura data
wait,aștepta
maybe,pot fi
case,caz
under,sub
though,deşi
number,număr
set,a stabilit
study,studiu
different,diferit
care,îngrijire
close,închide
small,mic
hard,greu
second,al doilea
idea,idee
room,cameră
read,citit
girl,fată
group,grup
lose,pierde
country,țară
month,lună
during,pe parcursul
game,joc
understand,a intelege
watch,ceas
mother,mamă
city,oraș
course,curs
today,astăzi
student,student
everything,Tot
early,din timp
someone,cineva
water,apă
system,sistem
young,tineri
plan,plan
stand,stand
yet,inca
meet,întâlni
real,real
program,program
pay,a plati
side,latură
hour,ora
boy,băiat
learn,învăța
hope,speranţă
okay,Bine
remember,tine minte
together,împreună
company,companie
business,Afaceri
minute,minut
fact,fapt
large,mare
its,este
line,linia
car,mașină
father,Tată
sit,sta
walk,mers pe jos
report,raport
already,deja
stay,stau
fall,toamna
thank,multumesc
least,cel mai puţin
person,persoană
less,Mai puțin
lead,conduce
actually,de fapt
four,patru
mind,minte
cause,cauză
black,negru
kill,ucide
issue,a emite/problema
eye,ochiul
power,putere
body,corp
support,a sustine
team,echipă
experience,experienţă
important,important
service,serviciu
speak,vorbi
government,guvern
late,târziu
area,zonă
sound,sunet
public,public
light,ușoară
ago,în urmă
almost,aproape
parent,mamă
die,a muri
provide,oferi
later,mai tarziu
often,de multe ori
please,Vă rog
else,altfel
follow,urma
spend,petrece
create,crea
past,trecut
war,război
human,uman
level,nivel
hey,Hei
whole,întreg
send,trimite
control,Control
able,capabil
white,alb
food,alimente
everyone,toata lumea
information,informație
probably,probabil
break,pauză
top,top
however,in orice caz
offer,oferi
allow,permite
force,forta
five,cinci
grow,crește
matter,materie
party,parte
along,de-a lungul
result,rezultat
free,gratuit
continue,continua
include,include
reason,motiv
behind,in spate
president,presedinte
add,adăuga
baby,bebelus
deal,afacere
buy,Cumpără
answer,Răspuns
heart,inima
law,lege
step,Etapa
wrong,gresit
easy,uşor
drive,conduce
cut,a tăia
eat,mânca
moment,moment
win,victorie
percent,la sută
across,peste
base,baza
morning,dimineaţă
member,membru
son,fiul
low,scăzut
community,comunitate
research,cercetare
door,uşă
age,vârstă
TRUE,ADEVĂRAT
figure,figura
miss,domnisoara
share,acțiune
hit,lovit
test,Test
pass,trece
form,formă
sorry,scuze
office,birou
pretty,frumos
within,în
center,centru
myself,eu insumi
street,stradă
several,mai multe
death,moarte
whether,dacă
act,act
foot,picior
fight,luptă
college,colegiu
sometimes,uneori
sense,sens
table,masa
health,sănătate
check,Verifica
clear,clar
either,fie
university,universitate
fire,foc
full,deplin
social,social
front,față
class,clasă
half,jumătate
expect,aştepta
national,naţional
soon,curând
history,istorie
process,proces
among,printre
consider,considera
bit,pic
anyone,oricine
cover,acoperi
build,construi
decide,decide
reach,a ajunge
thanks,Mulțumiri
himself,se
sign,semn
pick,alege
rather,mai degraba
appear,apărea
post,post
pull,Trage
inside,interior
fine,amenda
order,Ordin
note,Notă
instead,in schimb
outside,in afara
air,aer
view,vedere
music,muzică
record,record
nice,Grozav
phone,telefon
possible,posibil
future,viitor
wife,soție
rest,odihnă
finally,in cele din urma
happy,fericit
including,inclusiv
mom,mama
explain,explica
news,știri
cost,cost
million,milion
wear,purta
strong,puternic
general,general
serve,servi
present,prezent
brother,frate
voice,voce
dead,mort
listen,asculta
couple,cuplu
although,cu toate că
teacher,profesor
perhaps,poate
picture,imagine
six,şase
yourself,tu
guess,ghici
catch,captură
focus,se concentreze
practice,practică
local,local
design,proiecta
arm,braţ
chance,şansă
market,piaţă
effect,efect
alone,singur
